ID,Surface,Module,Feature,User Story,Expected Behavior,Status,Test Result,Errors Found,Fix Status,Retest Result,Notes
T01,MCP Tool,content,generate_video,"As an agent, I want to start an async AI video generation job so that I can create video content without blocking.","Returns a job_id immediately after validating credit budget, asset limits, and per-user rate limit; poll with check_status. Errors clearly on budget exceeded, rate limit, or job creation failure.",Documented,Pass (vitest),,N/A,Pending,Async job; cost varies by model.
T02,MCP Tool,content,generate_image,"As an agent, I want to start an async AI image generation job so that I can produce images for posts and carousels.",Returns job_id immediately after credit/asset budget and rate-limit checks. Errors on budget exceeded or job creation failure.,Documented,Pass (vitest),,N/A,Pending,2-10 credits.
T03,MCP Tool,content,check_status,"As an agent, I want to poll an async job so that I know when generation completes and get the result URL.","Validates job_id format (1-160 alnum), looks up job, fetches live status if processing, returns status/progress/result_url or error_message; masks R2 key in text output.",Documented,Pass (vitest),,N/A,Pending,
T04,MCP Tool,content,create_storyboard,"As an agent, I want to plan a multi-scene video storyboard so that I can produce cohesive multi-shot content.","Builds storyboard prompt with brand context, checks credit budget, calls AI to produce structured JSON frames (shot types, prompts, captions, voiceover).",Documented,Pass (vitest),,N/A,Pending,
T05,MCP Tool,content,generate_voiceover,"As an agent, I want to generate narration audio so that I can add voiceover to videos.","Checks credit budget and rate limit, calls TTS edge function, returns audioUrl and durationSeconds; errors on missing URL or budget exceeded.",Documented,Pass (vitest),,N/A,Pending,~2 credits.
T06,MCP Tool,content,generate_carousel,"As an agent, I want to generate carousel slide text so that I can publish multi-slide Instagram posts.","Calculates cost (10 + slide_count*2), checks budget and rate limit, returns slide array (headline, body, emphasis); defaults to hormozi-authority template.",Documented,Pass (vitest),,N/A,Pending,
T07,MCP Tool,brand,extract_brand,"As a marketer, I want to extract brand identity from a website so that I can generate on-brand content.","Validates URL against SSRF blocklist, calls brand-extract EF (60s timeout), returns BrandProfile (name, colors, voice, audience, logo); errors on SSRF or extraction failure.",Documented,Pass (vitest),,N/A,Pending,
T08,MCP Tool,brand,get_brand_profile,"As an agent, I want to load the active brand profile so that I can reuse stored brand data.","Uses project_id or active context, returns profile record; errors if no project_id and no default configured.",Documented,Pass (vitest),,N/A,Pending,
T09,MCP Tool,brand,save_brand_profile,"As a marketer, I want to save/replace the brand profile so that content stays consistent.","Defaults project_id to active, validates payload, saves with audit fields, returns saved profile with version; overwrites prior active profile (no merge).",Documented,Pass (vitest),,N/A,Pending,
T10,MCP Tool,brand,update_platform_voice,"As a marketer, I want to set platform-specific voice overrides so that each channel sounds right.","Updates platform voice (samples, tone, CTA, hashtags) in brand profile; errors if no project_id.",Documented,Pass (vitest),,N/A,Pending,
T11,MCP Tool,brandRuntime,get_brand_runtime,"As an agent, I want the 4-layer brand runtime so that I have messaging, voice, visual, and audience data in one call.",Returns messaging/voice/visual/audience layers plus confidence scores as JSON.,Documented,Pass (vitest),,N/A,Pending,
T12,MCP Tool,brandRuntime,explain_brand_system,"As a marketer, I want to see what brand data exists vs missing so that I know how to improve it.","Analyzes 7 sections with completeness scores, reports confidence, gives recommendations.",Documented,Pass (vitest),,N/A,Pending,
T13,MCP Tool,brandRuntime,check_brand_consistency,"As a creator, I want to check content against brand voice so that I catch off-brand copy before publishing.",Scores content across voice/vocabulary/messaging/claims (0-100) with issues; errors if no brand profile.,Documented,Pass (vitest),,N/A,Pending,
T14,MCP Tool,brandRuntime,audit_brand_colors,"As a designer, I want to audit colors against the brand palette so that visuals stay compliant.","Uses Delta E 2000 distance (default threshold 10), returns per-color compliance and nearest brand color; errors if no palette.",Documented,Pass (vitest),,N/A,Pending,
T15,MCP Tool,brandRuntime,export_design_tokens,"As a developer, I want to export brand tokens so that I can use them in CSS/Tailwind/Figma.",Returns tokens in requested format (css/tailwind/figma); errors if no brand palette.,Documented,Pass (vitest),,N/A,Pending,
T16,MCP Tool,carousel,create_carousel,"As a creator, I want end-to-end carousel creation so that slide text and images are produced together.","Injects brand visuals, checks credit/asset budgets, generates text, kicks off parallel image jobs, returns slides + job_ids; partial success returns failedSlides.",Documented,Pass (vitest),brand_id advertised in description + read by handler but MISSING from Zod schema; MCP SDK strips it at runtime so brand auto-injection path was unreachable (also TS2339).,Fixed: added brand_id to input schema (carousel.ts).,"Pass (vitest 12/12, verify:lock OK, type error resolved)",
T17,MCP Tool,quality,quality_check,"As a creator, I want to score post quality so that I publish only strong content.","Scores 7 categories (0-5, max 35) vs threshold (default 26), returns passed flag, per-category scores, blockers.",Documented,Pass (vitest),,N/A,Pending,
T18,MCP Tool,quality,quality_check_plan,"As a planner, I want to batch-check a content plan so that I catch weak posts before scheduling.","Scores each post, returns per-post details plus aggregate summary (passed/failed/avg).",Documented,Pass (vitest),,N/A,Pending,
T19,MCP Tool,extraction,extract_url_content,"As a creator, I want to extract content from a URL so that I can repurpose articles or YouTube transcripts.","Validates SSRF, routes YouTube vs article/product, returns ExtractedContent (title, transcript/content, metadata, hooks); errors on SSRF or failure.",Documented,Pass (vitest),,N/A,Pending,
T20,MCP Tool,planning,plan_content_week,"As a marketer, I want a full week content plan so that I have platform-specific drafts and schedule times.","Returns ContentPlan with posts, estimated_credits, insights_applied; persists if project_id; source/brand load are non-fatal; AI parse failure returns partial raw.",Documented,Pass (vitest),,N/A,Pending,
T21,MCP Tool,planning,save_content_plan,"As a planner, I want to save a content plan so that I can reference it for approval and scheduling.",Returns plan_id/project_id/status; auto-generates plan_id; errors if no project_id and no default.,Documented,Pass (vitest),,N/A,Pending,
T22,MCP Tool,planning,get_content_plan,"As a planner, I want to load a persisted plan so that I can inspect it before editing or scheduling.",Returns full plan with posts and approval state; 404 if not found.,Documented,Pass (vitest),,N/A,Pending,
T23,MCP Tool,planning,update_content_plan,"As an editor, I want to edit individual posts in a plan so that I can revise before scheduling.",Updates only specified fields per post_id; returns updated count; errors if plan or post_id not found; does not publish.,Documented,Pass (vitest),,N/A,Pending,
T24,MCP Tool,planning,submit_content_plan_for_approval,"As a planner, I want to submit a plan for approval so that posts enter review.",Creates pending approval items per post and sets plan to in_review; errors if plan not found or no posts.,Documented,Pass (vitest),,N/A,Pending,
T25,MCP Tool,distribution,schedule_post,"As a creator, I want to publish/schedule a post so that it goes to connected platforms.","Auto-rehosts media to R2 (SSRF validated), resolves job_ids, validates caption/title, returns per-platform results; errors if platform not connected.",Documented,Pass (vitest),,N/A,Pending,Shares posting rate bucket.
T26,MCP Tool,distribution,list_connected_accounts,"As a user, I want to see connected platforms so that I know where I can post.","Returns accounts (platform, username, expiry); empty array if none; errors on EF failure.",Documented,Pass (vitest),,N/A,Pending,
T27,MCP Tool,distribution,list_recent_posts,"As a user, I want to list recent posts so that I can review status and find post IDs.",Returns posts filtered by platform/status/days/limit with status icons; empty message if none.,Documented,Pass (vitest),,N/A,Pending,
T28,MCP Tool,distribution,find_next_slots,"As a planner, I want optimal non-conflicting posting slots so that I schedule for max engagement.","Returns slots sorted by engagement score, avoiding conflicts within min_gap_hours over a 7-day window.",Documented,Pass (vitest),,N/A,Pending,
T29,MCP Tool,distribution,schedule_content_plan,"As a planner, I want to schedule an entire plan so that all approved posts publish on time.","Schedules approved/edited posts with auto-slotting, quality gate, batch concurrency, idempotency; supports dry_run; errors if no plan/plan_id.",Documented,Pass (vitest),,N/A,Pending,
T30,MCP Tool,pipeline,check_pipeline_readiness,"As an operator, I want a pre-flight check so that I know the pipeline will succeed before running it.","Returns ready flag with checks (credits, accounts, brand, approvals, insights), blockers, warnings.",Documented,Pass (vitest),,N/A,Pending,
T31,MCP Tool,pipeline,run_content_pipeline,"As an operator, I want to run the full pipeline so that research-to-scheduling happens in one call.",Chains budget->planning->quality->persist->approvals->schedule; supports dry_run/skip_stages; returns pipeline_id and stage results.,Documented,Pass (vitest),,N/A,Pending,
T32,MCP Tool,pipeline,get_pipeline_status,"As an operator, I want pipeline run status so that I can track progress and approvals.","Returns pipeline object with stages, post counts, credits, errors; message if none found.",Documented,Pass (vitest),,N/A,Pending,
T33,MCP Tool,pipeline,auto_approve_plan,"As an operator, I want to auto-approve quality posts so that only weak ones need manual review.","Partitions posts into approved/flagged/rejected by threshold, creates approval records, sets plan status.",Documented,Pass (vitest),,N/A,Pending,
T34,MCP Tool,plan-approvals,create_plan_approvals,"As a reviewer, I want approval rows per post so that I have a review queue.","Creates one pending row per post; idempotent on (plan_id, post_id); errors if no project_id or empty posts.",Documented,Pass (vitest),,N/A,Pending,
T35,MCP Tool,plan-approvals,list_plan_approvals,"As a reviewer, I want to list approval items so that I know what needs review.",Returns items optionally filtered by status with original/edited post data; message if none.,Documented,Pass (vitest),,N/A,Pending,
T36,MCP Tool,plan-approvals,respond_plan_approval,"As a reviewer, I want to approve/reject/edit an item so that I control what publishes.","Records decision (edited requires edited_post), immutable once decided; errors on missing edited_post or re-decide.",Documented,Pass (vitest),,N/A,Pending,
T37,MCP Tool,connections,start_platform_connection,"As a user, I want a deep link to connect a platform so that I can complete OAuth in the browser.",Returns nonce/platform/expires_at/deep_link (2-min expiry); errors on EF failure or missing link.,Documented,Pass (vitest),,N/A,Pending,
T38,MCP Tool,connections,wait_for_connection,"As a user, I want to poll until a connection is active so that I know when I can post.","Polls until account active or timeout (default 30s, max 60s); returns connected flag/account details or timed_out.",Documented,Pass (vitest),,N/A,Pending,
T39,MCP Tool,ideation,generate_content,"As a creator, I want to generate platform-tailored content so that I have a ready draft.","Loads brand/ideation context (non-fatal), applies platform voice overrides, returns generated text; rate-limited.",Documented,Pass (vitest),,N/A,Pending,
T40,MCP Tool,ideation,fetch_trends,"As a creator, I want trending topics so that I have content inspiration.",Returns trends from youtube/google_trends/rss/url with 1-hour cache; SSRF validated; errors if url missing for rss/url source.,Documented,Pass (vitest),,N/A,Pending,
T41,MCP Tool,ideation,adapt_content,"As a creator, I want to rewrite content for another platform so that one message works everywhere.","Applies per-platform guidelines (length, hashtags, CTA, tone) and voice overrides; rate-limited; non-fatal brand load.",Documented,Pass (vitest),,N/A,Pending,
T42,MCP Tool,ideation-context,get_ideation_context,"As an agent, I want synthesized ideation context so that generation reflects past performance.","Returns IdeationContext (promptInjection, recommended model/duration/time, winning patterns, top hooks); empty defaults if no data; errors if no project.",Documented,Pass (vitest),,N/A,Pending,
T43,MCP Tool,suggest,suggest_next_content,"As a creator, I want data-driven content suggestions so that I know what to make next.",Returns suggestions with confidence and rationale from insights/swipes/format gaps; no AI/credit cost; pads to count.,Documented,Pass (vitest),,N/A,Pending,
T44,MCP Tool,media,upload_media,"As a creator, I want to upload media to durable storage so that I get a stable r2_key for posting.","Validates file types, 10MB base64 cap, sensitive paths, SSRF; returns r2_key/signed_url/size; presigned PUT for large files.",Documented,Pass (vitest),,N/A,Pending,
T45,MCP Tool,media,get_media_url,"As a creator, I want a fresh signed URL for an R2 key so that I can access stored media.",Returns signed_url with 1-hour expiry; errors from EF or no URL returned.,Documented,Pass (vitest),,N/A,Pending,
T46,MCP Tool,remotion,list_compositions,"As a creator, I want to list video compositions so that I can pick a template.",Returns static list of compositions with resolution/fps/duration/use case. No errors.,Documented,Pass (vitest),,N/A,Pending,
T47,MCP Tool,remotion,render_demo_video,"As a developer, I want to render a composition locally so that I can preview output.","Renders to public/videos/ (mp4/gif), returns path/resolution; errors on unknown id, bad JSON props, render failure.",Documented,Pass (vitest),,N/A,Pending,
